ID,householdID,communityID,HHmemberID,member_type,type_id,a005_w3,a006_w3,a006_w3_1,a006_w3_2,a006,versionID
094004126002,0940041260,0940041,1,1,,,,,,,20171011
094004126002,0940041260,0940041,2,2,,,,,,,20171011
094004126002,0940041260,0940041,3,4,1,,,,,,20171011
094004103001,0940041030,0940041,1,1,,,,,,,20171011
094004103001,0940041030,0940041,3,4,3,,,,,,20171011
094004111001,0940041110,0940041,1,1,,,,,,,20171011
094004111001,0940041110,0940041,2,2,,,,,,,20171011
094004111001,0940041110,0940041,3,4,1,,,,,,20171011
094004110001,0940041100,0940041,1,1,,,,,,,20171011
094004110001,0940041100,0940041,3,4,2,,,,,,20171011
094004110001,0940041100,0940041,4,4,3,,,,,,20171011
094004108001,0940041080,0940041,1,1,,,,,,,20171011
094004112001,0940041120,0940041,1,1,,,,,,,20171011
094004112001,0940041120,0940041,2,2,,,,,,,20171011
094004106001,0940041060,0940041,1,1,,,,,,,20171011
094004106001,0940041060,0940041,3,4,1,,,,,,20171011
094004106001,0940041060,0940041,4,7,,2,1,1962,0,8,20171011
094004114001,0940041140,0940041,1,1,,,,,,,20171011
094004118001,0940041180,0940041,1,1,,,,,,,20171011
094004118001,0940041180,0940041,2,2,,,,,,,20171011
094004101002,0940041010,0940041,1,1,,,,,,,20171011
094004104002,0940041040,0940041,1,1,,,,,,,20171011
094004104002,0940041040,0940041,2,2,,,,,,,20171011
094004119002,0940041190,0940041,1,1,,,,,,,20171011
094004122002,0940041220,0940041,1,1,,,,,,,20171011
094004122002,0940041220,0940041,2,2,,,,,,,20171011
094004122002,0940041220,0940041,3,4,1,,,,,,20171011
094004116002,0940041160,0940041,1,1,,,,,,,20171011
094004116002,0940041160,0940041,2,2,,,,,,,20171011
094004116002,0940041160,0940041,3,4,1,,,,,,20171011
094004117001,0940041170,0940041,1,1,,,,,,,20171011
094004117001,0940041170,0940041,2,2,,,,,,,20171011
094004117001,0940041170,0940041,3,4,3,,,,,,20171011
094004107001,0940041070,0940041,1,1,,,,,,,20171011
094004107001,0940041070,0940041,3,4,1,,,,,,20171011
094004310001,0940043100,0940043,1,1,,,,,,,20171011
094004310001,0940043100,0940043,2,2,,,,,,,20171011
094004313001,0940043130,0940043,1,1,,,,,,,20171011
094004313001,0940043130,0940043,3,4,1,,,,,,20171011
094004317001,0940043170,0940043,1,1,,,,,,,20171011
094004317001,0940043170,0940043,2,2,,,,,,,20171011
094004316001,0940043160,0940043,1,1,,,,,,,20171011
094004316001,0940043160,0940043,2,2,,,,,,,20171011
094004308001,0940043080,0940043,1,1,,,,,,,20171011
094004308001,0940043080,0940043,3,4,2,,,,,,20171011
094004303001,0940043030,0940043,1,1,,,,,,,20171011
094004303001,0940043030,0940043,2,2,,,,,,,20171011
094004303001,0940043030,0940043,3,4,1,,,,,,20171011
094004303001,0940043030,0940043,4,7,,1,1,1967,5,8,20171011
094004307001,0940043070,0940043,1,1,,,,,,,20171011
094004307001,0940043070,0940043,2,2,,,,,,,20171011
094004319001,0940043190,0940043,1,1,,,,,,,20171011
094004319001,0940043190,0940043,2,2,,,,,,,20171011
094004319001,0940043190,0940043,3,4,1,,,,,,20171011
094004320002,0940043200,0940043,1,1,,,,,,,20171011
094004320002,0940043200,0940043,2,2,,,,,,,20171011
094004318001,0940043180,0940043,1,1,,,,,,,20171011
094004318001,0940043180,0940043,2,2,,,,,,,20171011
094004311002,0940043110,0940043,1,1,,,,,,,20171011
094004311002,0940043110,0940043,2,2,,,,,,,20171011
094004311002,0940043110,0940043,3,4,1,,,,,,20171011
094004219001,0940042190,0940042,1,1,,,,,,,20171011
094004219001,0940042190,0940042,2,2,,,,,,,20171011
094004219001,0940042190,0940042,3,4,1,,,,,,20171011
094004220002,0940042200,0940042,1,1,,,,,,,20171011
094004220002,0940042200,0940042,2,2,,,,,,,20171011
094004215002,0940042150,0940042,1,1,,,,,,,20171011
094004215002,0940042150,0940042,2,2,,,,,,,20171011
094004215002,0940042150,0940042,3,4,1,,,,,,20171011
094004215002,0940042150,0940042,4,4,2,,,,,,20171011
094004217001,0940042170,0940042,1,1,,,,,,,20171011
094004217001,0940042170,0940042,2,2,,,,,,,20171011
094004201001,0940042010,0940042,1,1,,,,,,,20171011
094004201001,0940042010,0940042,2,2,,,,,,,20171011
094004201001,0940042010,0940042,3,4,1,,,,,,20171011
094004209002,0940042090,0940042,1,1,,,,,,,20171011
094004209002,0940042090,0940042,2,2,,,,,,,20171011
094004213001,0940042130,0940042,1,1,,,,,,,20171011
094004213001,0940042130,0940042,2,2,,,,,,,20171011
094004223001,0940042230,0940042,1,1,,,,,,,20171011
094004223001,0940042230,0940042,2,2,,,,,,,20171011
094004225001,0940042250,0940042,1,1,,,,,,,20171011
094004225001,0940042250,0940042,3,4,2,,,,,,20171011
094004216001,0940042160,0940042,1,1,,,,,,,20171011
094004216001,0940042160,0940042,2,2,,,,,,,20171011
094004212002,0940042120,0940042,1,1,,,,,,,20171011
094004212002,0940042120,0940042,2,2,,,,,,,20171011
094004212002,0940042120,0940042,3,4,1,,,,,,20171011
194037213001,1940372130,1940372,1,1,,,,,,,20171011
194037213001,1940372130,1940372,2,2,,,,,,,20171011
194037223002,1940372230,1940372,1,1,,,,,,,20171011
194037223002,1940372230,1940372,2,2,,,,,,,20171011
194037208001,1940372080,1940372,1,1,,,,,,,20171011
194037208001,1940372080,1940372,2,2,,,,,,,20171011
194037208001,1940372080,1940372,3,4,1,,,,,,20171011
194037222002,1940372220,1940372,1,1,,,,,,,20171011
194037222002,1940372220,1940372,2,2,,,,,,,20171011
194037222002,1940372220,1940372,3,4,1,,,,,,20171011
194037222002,1940372220,1940372,4,4,2,,,,,,20171011
194037219002,1940372190,1940372,1,1,,,,,,,20171011
194037219002,1940372190,1940372,2,2,,,,,,,20171011
194037219002,1940372190,1940372,3,4,1,,,,,,20171011
194037219002,1940372190,1940372,4,7,,2,1,2004,8,9,20171011
194037219002,1940372190,1940372,5,7,,2,1,2004,8,9,20171011
194037214002,1940372140,1940372,1,1,,,,,,,20171011
194037214002,1940372140,1940372,2,2,,,,,,,20171011
194037202002,1940372020,1940372,1,1,,,,,,,20171011
194037202002,1940372020,1940372,2,2,,,,,,,20171011
194037206002,1940372060,1940372,1,1,,,,,,,20171011
194037206002,1940372060,1940372,2,2,,,,,,,20171011
194037204001,1940372040,1940372,1,1,,,,,,,20171011
194037204001,1940372040,1940372,3,4,2,,,,,,20171011
194037224001,1940372240,1940372,1,1,,,,,,,20171011
194037224001,1940372240,1940372,2,2,,,,,,,20171011
194037224001,1940372240,1940372,3,4,1,,,,,,20171011
194037220002,1940372200,1940372,1,1,,,,,,,20171011
194037220002,1940372200,1940372,2,2,,,,,,,20171011
194037220002,1940372200,1940372,3,4,1,,,,,,20171011
194037220002,1940372200,1940372,4,4,2,,,,,,20171011
194037211001,1940372110,1940372,1,1,,,,,,,20171011
194037211001,1940372110,1940372,2,2,,,,,,,20171011
194037227002,1940372270,1940372,1,1,,,,,,,20171011
194037227002,1940372270,1940372,2,2,,,,,,,20171011
194037227002,1940372270,1940372,3,4,1,,,,,,20171011
194037212001,1940372120,1940372,1,1,,,,,,,20171011
194037212001,1940372120,1940372,2,2,,,,,,,20171011
194037333001,1940373330,1940373,1,1,,,,,,,20171011
194037333001,1940373330,1940373,2,2,,,,,,,20171011
194037333001,1940373330,1940373,3,7,,1,1,2000,0,9,20171011
194037342002,1940373420,1940373,1,1,,,,,,,20171011
194037342002,1940373420,1940373,2,2,,,,,,,20171011
194037342002,1940373420,1940373,3,4,1,,,,,,20171011
194037301002,1940373010,1940373,1,1,,,,,,,20171011
194037301002,1940373010,1940373,2,2,,,,,,,20171011
194037301002,1940373010,1940373,3,7,,1,2,1999,2,9,20171011
194037311002,1940373110,1940373,1,1,,,,,,,20171011
194037311002,1940373110,1940373,2,2,,,,,,,20171011
194037310002,1940373100,1940373,1,1,,,,,,,20171011
194037310002,1940373100,1940373,2,2,,,,,,,20171011
194037310002,1940373100,1940373,3,7,,1,1,2010,1,9,20171011
194037329001,1940373290,1940373,1,1,,,,,,,20171011
194037329001,1940373290,1940373,3,4,1,,,,,,20171011
194037316001,1940373160,1940373,1,1,,,,,,,20171011
194037316001,1940373160,1940373,2,2,,,,,,,20171011
194037314002,1940373140,1940373,1,1,,,,,,,20171011
194037314002,1940373140,1940373,2,2,,,,,,,20171011
194037314002,1940373140,1940373,3,7,,1,2,2012,1,9,20171011
194037321002,1940373210,1940373,1,1,,,,,,,20171011
194037321002,1940373210,1940373,2,2,,,,,,,20171011
194037321002,1940373210,1940373,3,4,3,,,,,,20171011
194037306002,1940373060,1940373,1,1,,,,,,,20171011
194037306002,1940373060,1940373,2,2,,,,,,,20171011
194037306002,1940373060,1940373,3,4,1,,,,,,20171011
194037325001,1940373250,1940373,1,1,,,,,,,20171011
194037325001,1940373250,1940373,2,2,,,,,,,20171011
194037345001,1940373450,1940373,1,1,,,,,,,20171011
194037345001,1940373450,1940373,2,2,,,,,,,20171011
194037345001,1940373450,1940373,3,4,2,,,,,,20171011
194037308001,1940373080,1940373,1,1,,,,,,,20171011
194037308001,1940373080,1940373,2,2,,,,,,,20171011
194037307002,1940373070,1940373,1,1,,,,,,,20171011
194037307002,1940373070,1940373,2,2,,,,,,,20171011
194037326001,1940373260,1940373,1,1,,,,,,,20171011
194037326001,1940373260,1940373,2,2,,,,,,,20171011
194037348002,1940373480,1940373,1,1,,,,,,,20171011
194037348002,1940373480,1940373,2,2,,,,,,,20171011
194037348002,1940373480,1940373,3,4,1,,,,,,20171011
194037317001,1940373170,1940373,1,1,,,,,,,20171011
194037328001,1940373280,1940373,1,1,,,,,,,20171011
194037347001,1940373470,1940373,1,1,,,,,,,20171011
194037347001,1940373470,1940373,2,2,,,,,,,20171011
194037344001,1940373440,1940373,1,1,,,,,,,20171011
194037344001,1940373440,1940373,2,2,,,,,,,20171011
194037341001,1940373410,1940373,1,1,,,,,,,20171011
194037341001,1940373410,1940373,2,2,,,,,,,20171011
194037324001,1940373240,1940373,1,1,,,,,,,20171011
194037324001,1940373240,1940373,2,2,,,,,,,20171011
194037324001,1940373240,1940373,3,4,1,,,,,,20171011
194037302001,1940373020,1940373,1,1,,,,,,,20171011
194037302001,1940373020,1940373,2,2,,,,,,,20171011
194037343001,1940373430,1940373,1,1,,,,,,,20171011
194037343001,1940373430,1940373,2,2,,,,,,,20171011
194037343001,1940373430,1940373,3,4,1,,,,,,20171011
194037343001,1940373430,1940373,4,4,2,,,,,,20171011
